valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Popularidad,artistslist,numero_de_artistas,mainartist,duration_s,feat
0.247,1942,0.6729999999999999,"['Bing Crosby', 'Ken Darby Singers', 'John Scott Trotter & His Orchestra']",0.317,177480,0.158,0,4so0Wek9Ig1p6CRCHuINwW,0.353,9,0.338,-16.485,1,White Christmas,76,1942-01-01,0.0381,130.503,Popular,,3,Bing Crosby,177.48,1
0.701,1959,0.912,['Dean Martin'],0.451,117147,0.24,0,2uFaJJtFpPDc5Pa95XzTvg,2.45e-6,1,0.175,-14.014,1,Let It Snow! Let It Snow! Let It Snow!,81,1959-01-01,0.0351,134.009,Popular,,1,Dean Martin,117.147,0
0.328,1960,0.547,['Etta James'],0.274,179693,0.348,0,4Hhv2vrOTy89HFRcjU3QOx,0.0133,5,0.334,-8.631,1,At Last,76,1960,0.0293,87.43,Popular,,1,Etta James,179.693,0
0.343,1961,0.941,['Elvis Presley'],0.396,182360,0.293,0,44AyOl4qVkzS48vBsbNXaC,1.96e-4,2,0.105,-14.062,1,Can't Help Falling in Love,78,1961-10-20,0.0275,100.307,Popular,,1,Elvis Presley,182.36,0
0.209,1962,0.92,['Nat King Cole'],0.319,192160,0.21,0,4PS1e8f2LvuTFgUs1Cn3ON,8.06e-5,1,0.138,-15.231,1,The Christmas Song (Merry Christmas To You),77,1962,0.0341,78.696,Popular,,1,Nat King Cole,192.16,0
0.605,1962,0.57,['Ben E. King'],0.65,180056,0.306,0,3SdTKo2uVsxFblQjpScoHy,7.07e-6,9,0.0707,-9.443,1,Stand by Me,78,1962-08-20,0.0393,118.068,Popular,,1,Ben E. King,180.056,0
0.7759999999999999,1963,0.7659999999999999,['Andy Williams'],0.24,151933,0.598,0,5hslUAKq9I9CG2bAulFkHN,0,7,0.117,-8.435,1,It's the Most Wonderful Time of the Year,83,1963-11-24,0.0369,201.629,Popular,,1,Andy Williams,151.933,0
0.853,1963,0.403,['The Ronettes'],0.529,181267,0.772,0,5ASM6Qjiav2xPe7gRkQMsQ,2.21e-6,2,0.316,-7.013,1,Sleigh Ride,80,1963,0.0287,91.751,Popular,,1,The Ronettes,181.267,0
0.898,1964,0.614,['Brenda Lee'],0.589,126267,0.472,0,2EjXfH91m7f8HiJN1yQg97,0,8,0.505,-8.749,1,Rockin' Around The Christmas Tree,85,1964-10-19,0.0502,67.196,Popular,,1,Brenda Lee,126.267,0
0.6940000000000001,1965,0.635,['The Temptations'],0.5720000000000001,165000,0.418,0,745H5CctFr12Mo7cqa1BMH,0,0,0.0961,-10.738,1,My Girl,79,1965-03-22,0.0349,104.566,Popular,,1,The Temptations,165,0
0.315,1965,0.879,['The Beatles'],0.332,125667,0.179,0,3BQHpFgAp4l80e1XslIjNI,0,5,0.0886,-11.83,1,Yesterday - Remastered 2009,77,1965-08-06,0.0326,96.529,Popular,,1,The Beatles,125.667,0
0.931,1965,0.0383,['The Rolling Stones'],0.723,222813,0.863,0,2PzU4IB8Dr6mxV3lHuaG34,0.0317,2,0.128,-7.89,1,(I Can't Get No) Satisfaction - Mono Version,77,1965-07-30,0.0338,136.30200000000002,Popular,,1,The Rolling Stones,222.813,0
