valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Popularidad,duration_s,numero_de_artista_muestra,artistslistmuestra,featm
0.938,1988,0.851,['Antonio Aguilar'],0.6559999999999999,167297,0.401,0,2HwJLWke97FuEQOlepURAM,1.2e-6,3,0.7559999999999999,-9.271,1,Por Una Mujer Casada,50,1988-01-01,0.093,97.839,No Popular,167.297,1,,0
0.62,1957,0.805,['B.B. King'],0.523,175680,0.599,0,2npbwyr9HxwL6AHVw8mFVC,0.0023,0,0.0788,-5.44,1,When My Heart Beats Like A Hammer,20,1957-01-01,0.0338,111.404,No Popular,175.68,1,,0
0.573,1984,0.00565,['Lee Moses'],0.403,183000,0.8740000000000001,0,5lNMa2MqNo8iGs0thwlG8f,0.00931,5,0.264,-8.728,1,Bad Girl Pt. 2,27,1984,0.192,109.48,No Popular,183,1,,0
0.384,1993,7.68e-5,"['Cypress Hill', 'Pearl Jam']",0.552,210200,0.711,0,28S7ljAJMJs3ZUfucDDEob,0.189,9,0.305,-11.941,1,Real Thing,38,1993-06-07,0.1,176.765,No Popular,210.2,2,,1
0.903,1991,0.568,['Flor Silvestre'],0.633,162273,0.479,0,65DppNriLfxOOM5eCSaKm3,2.61e-6,10,0.0966,-4.093,1,Gaviota Traidora,38,1991-12-19,0.0389,129.534,No Popular,162.273,1,,0
0.609,1962,0.804,"['Stan Getz', 'Charlie Byrd']",0.685,369280,0.165,0,5bKrCtDuBoFGqeMrKRVH3V,0.315,0,0.117,-22.487,1,Samba De Uma Nota So,48,1962-01-01,0.0846,77.119,No Popular,369.28,2,,1
0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.5539999999999999,1,22LAwLoDA5b4AaGSkg6bKW,0,0,0.132,-7.909,1,Blueberry Faygo,84,2020-02-06,0.0383,99.034,Popular,162.547,1,,0
0.775,1963,0.8029999999999999,['Serge Gainsbourg'],0.685,149274,0.252,0,4dpAswgQ8A6I8NAPFBJ1wM,1.4e-5,11,0.0936,-19.705,0,Chez les yé-yé,35,1963-01-01,0.244,101.302,No Popular,149.274,1,,0
0.206,2010,0.0175,"['Kanye West', 'Rick Ross']",0.435,351947,0.76,1,1UGD3lW3tDmgZfAVDh6w7r,0,8,0.158,-4.935,0,Devil In A New Dress,71,2010-11-22,0.0721,80.082,No Popular,351.947,2,,1
0.706,1991,0.851,['The Platters'],0.652,159067,0.303,0,6Q2pkSKuM08SDOuAS5amQD,0,7,0.324,-8.573,1,The Great Pretender,46,1991-01-01,0.0297,114.665,No Popular,159.067,1,,0
0.116,2011,0.98,['C418'],0.206,254000,0.0154,0,6xwhCiWXREsAIQVZqHswVw,0.636,1,0.0662,-22.923,1,Minecraft,65,2011-03-04,0.0426,83.68,No Popular,254,1,,0
0.606,1994,0.496,['Gerald Levert'],0.55,323680,0.64,0,36YYX5u0EFbAwwhA2YXZxd,0,10,0.163,-6.272,1,Can't Help Myself,32,1994-08-16,0.061,143.345,No Popular,323.68,1,,0
0.377,1948,0.942,"['Giacomo Puccini', 'Giuseppe Antonicelli', 'Metropolitan Opera Orchestra']",0.504,208973,0.14300000000000002,0,20QxRGHMZ0D3VRDSfQwSUh,0,7,0.268,-19.112,1,"La Bohème: Act I - Timido in gioventù, ora me ne ripago!",0,1948,0.117,118.238,No Popular,208.973,3,,1
0.3670000000000001,1972,0.273,['Lou Reed'],0.322,307853,0.603,0,65pfqAbL2wxS9g00t5XbBI,0.124,7,0.362,-8.347000000000001,1,Ocean,32,1972-06-01,0.0297,79.468,No Popular,307.853,1,,0
0.8059999999999999,1951,0.909,"['Louis Prima', 'Keely Smith']",0.8029999999999999,146160,0.435,0,4B9XZbS9Hg45rgkr3CrtJV,1.78e-6,10,0.149,-8.007,1,Basta,11,1951,0.0655,118.876,No Popular,146.16,2,,1
0.8109999999999999,2019,0.0669,['Blanco Brown'],0.847,200594,0.6779999999999999,0,2KKijf6Ett4kmVNJze2roh,0,9,0.274,-8.635,1,The Git Up,73,2019-10-10,0.109,97.984,No Popular,200.594,1,,0
0.491,1958,0.713,['Nat King Cole'],0.479,160680,0.315,0,5XaRuenP7XjJt1IjWrw49J,2.9100000000000013e-5,1,0.107,-12.1,1,Te Quiero Dijiste,34,1958-08-01,0.0344,106.625,No Popular,160.68,1,,0
